S.No,AppTag,LOB,AuthReq,ImmediateTxf,ClarfierQuestion,NextAction,Onboarding Eligible
84,agent-find,FARMER_SALES_FARMER_TRAINING,Y,N,NA,AGENT_INFO,Y
85,agent-find,FARMER_VANITY_VANITY,Y,N,NA,AGENT_INFO,Y
86,agent-find,SHARED_MM_HOMEOWNER,Y,N,NA,AGENT_INFO,Y
87,agent-find,21V,Y,N,NA,TRANSFER,Y
88,agent-find,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
89,agent-find,21SV,Y,N,NA,TRANSFER,Y
90,agent-find,21SM,Y,N,NA,TRANSFER,Y
91,agent-find,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
92,agent-support,SHARED_MM_BW,Y,N,NA,TRANSFER,Y
93,agent-support,BW_PROD_BW,N,N,NA,BW_PROD_MAIN_MENU,Y
94,agent-support,FOREMOST_AGENT_FOREMOST,N,N,NA,FMST_AGENT_MM,Y
95,agent-support,FARM_PL_FAS,N,N,NA,FARMER_PL_ACCT_TXR,Y
96,agent-support,SHARED_MM_FARMERSERVICE,Y,N,NA,TRANSFER,Y
97,agent-support,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE,Y
98,agent-support,FARMER_VANITY_VANITY,Y,N,NA,TRANSFER,Y
99,agent-support,SHARED_MM_HOMEOWNER,Y,N,NA,AGENT_INFO,Y
100,agent-support,21V,Y,N,NA,POLICY_CHANGE,Y
101,agent-support,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
102,agent-support,21SV,Y,N,NA,POLICY_CHANGE,Y
103,agent-support,21SM,Y,N,NA,TRANSFER,Y
104,agent-support,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
105,alert-vague,SHARED_MM_BW,Y,N,NA,TRANSFER,Y
106,alert-vague,BW_PROD_BW,N,N,NA,BW_POLICY_COLLECTION,Y
107,alert-vague,FOREMOST_AGENT_FOREMOST,N,N,NA,FOREMOST_STAR,Y
108,alert-vague,FARM_PL_FAS,N,N,NA,FAS_PL_MAINMENU,Y
109,alert-vague,SHARED_MM_FARMERSERVICE,Y,N,NA,TRANSFER,Y
110,alert-vague,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE,Y
111,alert-vague,FARMER_VANITY_VANITY,Y,N,NA,TRANSFER,Y
112,alert-vague,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE,Y
113,alert-vague,21V,Y,N,NA,POLICY_CHANGE,Y
114,alert-vague,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
115,alert-vague,21SV,Y,N,NA,POLICY_CHANGE,Y
116,alert-vague,21SM,Y,N,NA,TRANSFER,Y
117,alert-vague,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
118,application-get_help,SHARED_MM_BW,Y,N,SNLUXXPAXX329XYwav,TRANSFER,Y
119,application-get_help,BW_PROD_BW,Y,N,SNLUXXPAXX329XYwav,TRANSFER,Y
120,application-get_help,FOREMOST_AGENT_FOREMOST,N,N,SNLUXXPAXX329XYwav,FOREMOST_STAR,Y
121,application-get_help,FARM_PL_FAS,N,N,SNLUXXPAXX329XYwav,FAS_PL_MAINMENU,Y
122,application-get_help,SHARED_MM_FARMERSERVICE,Y,N,SNLUXXPAXX329XYwav,TRANSFER,Y
