priorityId,flagIndRuleId,customerType,language,applicationId,delinquencyRuleId,feature,intent,intentGroup,exitAction,transferVQ,transferDID,terminationMessage
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,tech-support,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support,transfer,BusTech-ROG-SMB-T1-Wirln-IB-EN,11051899019,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,tech-support,transfer,BusTech-ROG-SMB-T1-Wirln-IB-FR,11051899080,
00110101,*,*,en-US,Bus_Main_SMB,*,isWirelessOnly,*,service,transfer,BusServ-ROG-SMB-Wir-IB-EN,11051899023,
00110101,*,*,fr-CA,Bus_Main_SMB,*,isWirelessOnly,*,service,transfer,BusServ-ROG-SMB-Wir-IB-FR,11051899117,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,service,transfer,BusServ-ROG-SMB-Wir-IB-EN,11051899023,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,service,transfer,BusServ-ROG-SMB-Wir-IB-FR,11051899117,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,service,transfer,BusServ-ROG-COMM-Wir-IB-EN,11051110059,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,service,transfer,BusServ-ROG-COMM-Wir-IB-FR,11051899093,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,service,transfer,BusServ-ROG-SMB-Cbl-IB-EN,11051899024,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,service,transfer,BusServ-ROG-SMB-Cbl-IB-FR,11051899083,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,self-serve-wireless-lost-stolen,transfer,Xfer-GVP-IVR-self-serve-wireless-lost-stolen-EN,11154890008,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,self-serve-wireless-lost-stolen,transfer,Xfer-GVP-IVR-self-serve-wireless-lost-stolen-FR,11154890018,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,self-serve-wireless-lost-stolen,transfer,Xfer-GVP-IVR-self-serve-wireless-lost-stolen-EN,11154890008,
